Id,Category
169491,49
33711,14
100051,2
15271,33
13291,2
146571,2
145202,2
166652,33
1282,57
71512,57
24691,33
187130,28
31122,2
125731,33
125732,33
174961,33
125980,28
131642,57
135272,33
195130,1
195131,57
195132,24
11892,57
136812,2
84622,2
117291,2
21252,57
64220,50
84430,57
113740,57
113742,2
41071,19
27502,57
49681,1
49682,57
147491,33
19671,2
95480,53
138791,57
163772,2
96300,57
2350,53
2351,1
72000,33
152732,44
166402,57
131030,33
25160,57
25162,57
26752,57
26750,2
108460,33
148750,21
142411,57
92520,57
30542,2
91362,2
48642,1
93010,33
103052,33
149800,13
123661,39
123532,20
110692,57
185080,2
185082,39
105361,1
45442,57
160190,54
39651,57
145531,33
111060,33
78961,57
5421,1
166700,32
53202,33
146232,57
146230,53
33320,14
127890,46
99502,57
118582,2
198511,53
54671,57
169290,2
173191,2
59760,32
70241,39
153031,39
42671,13
115021,57
144440,28
40700,30
99281,39
47511,57
155602,33
23161,1
111342,33
44700,11
49941,21
49942,33
63760,57
195770,37
34431,33
110840,33
48390,33
178221,33
180352,2
40391,57
56811,2
140382,2
193091,57
193092,53
14951,24
61492,33
125192,33
65291,43
140792,11
1480,50
187462,28
71681,57
181042,57
7282,1
173022,57
172972,33
44680,33
33910,18
45202,2
47742,2
32132,57
145700,57
123210,2
187802,2
125340,53
22921,26
22922,1
152791,2
103951,2
38680,33
144780,57
44090,2
161972,57
53240,33
174292,34
25671,57
2902,57
177330,2
126211,2
20852,40
40462,57
20170,57
116572,2
99911,2
170710,6
19862,43
21360,33
65310,11
182260,33
60090,10
49371,1
167801,57
60021,2
49240,39
49242,53
187850,20
187852,33
21161,57
74410,26
74411,33
32971,33
199661,57
27022,57
70431,57
169272,57
185842,57
191321,57
20101,53
199532,12
160902,2
15761,33
78702,2
112340,57
156622,57
168932,33
198592,2
46852,2
75760,33
27252,57
146200,35
164940,21
1642,57
42180,57
44982,33
192601,33
66322,39
129281,57
76651,57
118021,33
88931,13
14771,1
103531,57
21841,33
50630,33
164541,33
164542,57
165211,33
15470,43
46072,57
92232,2
44202,33
30292,2
92291,57
19492,40
54402,2
80552,33
28730,53
188821,33
188822,1
22050,2
173220,20
18890,39
85081,40
60331,2
871,33
23252,1
150401,33
27652,24
118811,2
172612,57
171842,33
113832,57
48652,27
109782,33
133721,50
4032,33
94361,57
164832,57
164831,57
116021,57
12912,57
58512,57
59481,18
146080,57
69670,33
105210,2
182010,57
182012,33
35541,2
6512,57
43921,57
143600,39
115010,2
119190,9
99370,57
52390,6
199562,33
127151,2
43282,57
122142,2
104440,55
12872,33
118822,2
100981,2
155532,57
10672,13
161011,57
164251,33
38581,33
41551,36
55152,57
55151,57
111710,57
7381,33
7382,13
95741,20
189400,33
104530,57
16140,57
16141,57
29231,57
199681,2
199682,1
152802,57
163360,13
9062,57
83461,2
194811,1
8842,57
84821,49
18242,2
10362,8
133902,57
157892,2
21012,57
174930,30
174932,33
66582,2
88780,33
88782,2
170921,2
41841,33
15222,2
78422,57
193960,2
78902,2
37532,1
189161,57
98792,36
150480,20
86172,33
189481,57
136460,33
130591,57
191991,57
39000,57
58411,33
154052,2
170302,17
195072,57
113622,57
49960,2
58172,22
176192,2
194442,33
86031,57
171801,57
97842,37
69660,2
140822,2
4471,21
156451,57
41330,33
41331,21
41332,24
28411,33
28412,2
198671,33
112360,39
32522,33
176070,2
9741,57
166602,33
57830,44
142092,57
138240,2
138241,57
133612,44
180770,2
156420,57
21981,33
199062,57
41212,2
198522,33
169622,57
14360,33
108591,2
185550,2
112590,39
32571,33
61080,21
44761,50
118290,2
156530,57
30801,53
30802,33
50850,24
115152,57
99420,21
49181,33
72811,57
13892,57
11472,57
6730,33
47410,56
18282,33
87032,33
147400,2
138960,2
156720,33
56411,57
177632,33
19361,57
40371,57
3661,57
53781,57
94850,57
113492,57
170042,33
71290,57
83052,40
13222,57
66210,2
104922,33
31610,57
161592,2
117320,2
69050,1
85312,2
85310,39
89761,43
60620,2
82881,57
50381,57
197911,2
180602,1
136650,57
11941,33
35150,44
79100,21
79102,57
30170,21
30171,2
110621,33
187101,1
188202,1
75042,1
139420,6
59171,57
125671,39
12041,53
145412,39
34032,33
19431,2
80632,50
114250,57
50480,57
96730,33
15091,2
15092,28
24471,57
119841,2
145290,57
76751,57
39181,57
167062,57
65972,39
49232,33
47990,57
158621,2
26311,36
139920,50
85751,57
53111,33
20410,2
19331,57
20810,57
57591,27
10600,6
10602,33
87361,43
125840,6
67382,37
173072,3
174911,20
61290,19
157130,20
157131,2
25302,33
30252,33
130552,37
125922,57
51231,57
38240,1
129470,57
139860,50
20922,33
2270,57
2271,33
76030,1
83962,2
91651,8
117950,57
1880,57
123700,33
116281,50
151512,31
126360,24
197452,57
63351,2
162581,33
104461,22
177542,57
65180,26
130901,39
193072,28
83710,2
101011,33
198362,57
20501,18
182791,57
189802,30
68041,54
78921,57
61442,8
67071,57
57741,33
101141,2
179252,33
85682,33
69511,57
174391,21
166810,57
162141,57
34472,2
70900,57
130750,57
101042,57
156410,1
81460,57
118082,33
191261,12
190261,13
8370,49
33262,33
136010,57
104041,33
9431,57
178352,2
177991,33
99730,55
52422,57
154240,2
193232,33
153401,57
40882,57
63191,57
165672,53
165671,39
102551,57
960,8
197551,57
133141,33
52690,1
33921,44
93981,53
46452,57
140372,53
88422,57
187322,2
121370,57
121371,44
45562,2
118001,21
103872,53
103870,33
112611,57
76971,57
136211,57
71610,33
188491,57
102221,57
102770,57
36142,57
163032,33
11692,33
35882,27
160940,33
174771,13
131310,33
281,39
129672,57
190150,33
142421,12
123612,2
79150,33
33460,56
116961,17
55222,1
9020,2
188440,57
118241,57
119582,21
96470,14
153112,1
25890,57
11681,57
11682,21
148212,2
150450,53
150452,57
80012,2
183471,34
130190,43
56710,57
180371,57
138602,11
22391,0
48382,21
105642,57
120361,33
66540,18
169400,2
169402,27
183222,57
110002,57
89121,57
178030,56
99850,39
196301,57
150441,57
156151,57
15122,27
185730,1
175542,57
56502,39
89712,39
44802,57
151611,57
151612,57
86110,33
18872,33
79611,57
155991,21
24292,1
63022,57
92600,2
75942,35
194800,33
99820,24
71022,2
129600,53
129601,1
88862,1
2481,54
92082,6
35752,57
172220,41
76690,57
3521,2
137690,57
191142,2
79431,1
115050,50
139320,12
186370,2
148732,30
63490,20
63491,57
10380,57
10381,57
74161,57
49742,1
142952,57
131771,1
167311,36
2131,14
19221,57
130021,57
114710,14
117462,57
1382,57
13330,57
13332,56
50342,37
20820,21
146721,57
38161,33
135821,57
42722,33
145821,57
40212,33
191880,33
167620,57
81181,39
59002,57
149140,57
39421,57
196592,57
196591,40
34191,33
123240,33
30720,2
163782,57
154720,57
125680,11
143780,39
105412,33
104841,2
139080,6
1521,57
174102,2
126141,57
95922,20
50022,54
72711,28
25841,2
132300,57
117572,51
146752,2
16351,22
145581,57
164181,57
97330,33
2771,2
52931,33
197472,53
11781,33
191570,35
8812,21
178910,33
36950,57
74422,33
142482,57
167342,49
151120,2
26500,35
90232,1
67241,57
192682,57
79012,57
111610,2
160691,33
11122,57
179871,35
118060,57
118061,33
131432,33
171260,37
69111,57
191440,57
64691,2
88732,33
100341,55
40711,49
53281,33
55652,21
60682,32
42871,57
7170,2
122940,3
133730,53
133731,57
188350,57
168940,2
168941,2
180442,57
5321,57
127342,42
75551,33
67822,37
185232,57
157372,57
98652,57
153282,39
158850,57
118302,2
93290,39
120931,33
198171,57
109200,2
149620,33
2582,12
41460,2
126261,34
145500,57
174300,15
172282,49
40651,57
165952,57
31800,33
8950,21
57450,1
124081,57
190762,24
106750,43
65752,2
150642,39
192760,2
165052,19
55141,33
175760,1
109480,33
136551,33
44412,57
30420,21
187091,24
29732,57
19800,50
128672,2
128671,33
40691,57
170622,53
45151,13
81040,22
83280,33
114722,10
70220,57
90420,33
184022,57
71180,39
18820,33
74102,2
90122,1
68341,57
89282,57
28242,33
33490,32
4840,57
4842,57
138490,32
82532,33
138822,57
12712,2
120430,57
182292,2
80071,56
102570,57
60160,57
10291,54
20791,55
132372,43
22822,33
168370,33
155272,57
31300,57
6112,11
142022,43
104631,2
99801,57
169881,33
68061,57
51401,33
51402,2
171602,2
17151,22
147882,43
80390,33
80641,33
66472,57
85032,57
87860,57
189152,57
189151,56
181741,11
19871,57
96022,2
42380,33
172942,18
109992,57
109991,43
146500,57
34490,2
186640,19
186642,57
16960,57
139182,28
30490,57
78140,2
56820,57
75442,33
138061,2
158641,57
77591,57
160632,53
110611,57
114931,57
28390,57
107660,57
197852,57
147052,3
138071,57
74362,57
102530,57
120371,57
175690,39
175692,20
117050,33
60710,33
97250,57
194142,57
53580,57
9842,33
74800,57
64121,49
34822,33
190241,57
190242,57
37180,2
110311,57
35442,2
182422,57
33162,39
124131,56
8830,49
110792,39
76521,57
182050,28
136070,50
148102,53
85980,33
177062,57
46021,33
157571,13
88872,57
88870,57
77711,43
132422,33
117141,33
110321,57
110322,49
133410,14
97830,39
72081,2
113131,54
92270,39
171250,2
110421,53
1001,53
175282,2
184651,57
123551,56
178901,57
128752,57
104512,38
104511,32
12180,57
194740,2
37210,57
7621,2
42021,33
42022,2
91691,2
91692,2
81710,33
11581,57
66852,57
1661,57
166661,57
84832,33
144302,33
80852,33
88601,33
198631,1
127132,57
128402,8
186240,33
122911,1
61850,57
142440,2
107090,57
182472,50
182470,57
177962,57
187811,1
175951,33
188662,57
178060,57
178061,2
180612,2
68762,2
119200,23
52270,56
126930,56
102422,33
96990,2
105611,20
58322,33
57800,43
122172,57
25880,39
93862,23
18900,33
181,2
27850,33
19231,57
5190,32
43550,54
157700,33
127872,20
191932,11
125620,33
125622,24
15251,57
143030,2
167681,39
141691,57
18151,33
173520,33
122072,33
178670,39
51631,57
154690,57
154692,44
89201,21
93410,33
93412,33
30571,1
186321,49
97882,2
89552,57
191592,2
191591,2
194902,8
17851,57
198550,57
198551,21
129872,33
160150,8
160151,8
164912,33
154541,33
108181,2
184270,57
34792,44
149291,33
15462,57
149851,21
70740,57
